Vg,Id,Vd,Id_model,log10_Id_ref,log10_Id_model,log_error_dec,rel_error
-1.3071,3.974829037934645e-05,0.05,3.521033333333333e-05,-4.400681546121554,-4.453329863480169,-0.052648317358615415,-0.11416735166982377
-1.20307,3.8011493996836925e-05,0.05,3.467040833333333e-05,-4.420085060630223,-4.460041043377664,-0.03995598274744072,-0.08789672049674287
-1.1045,3.344162787071481e-05,0.05,3.396505376344086e-05,-4.4757125901426695,-4.468967693625964,0.006744896516705623,0.015651926238447817
-1.00595,3.198527610095115e-05,0.05,3.297922448979592e-05,-4.495049896045309,-4.481759561055424,0.013290334989885189,0.031075185523104194
-0.901856,2.380532599737153e-05,0.05,3.13388506122449e-05,-4.623325866788078,-4.5039169358161635,0.11940893097191463,0.3164638289643747
-0.797764,1.7717350143674963e-05,0.05,2.8568327981651378e-05,-4.751601231886625,-4.5441151768238255,0.20748605506279993,0.6124492517212107
-0.704609,1.2650580268638763e-05,0.05,2.4150555000000002e-05,-4.897889553406101,-4.617072884346512,0.2808166690595888,0.9090472126302447
-0.594943,6.463424141848396e-06,0.05,1.4884443333333335e-05,-5.189537343934929,-4.82726740299121,0.3622699409437189,1.3028727508321485
-0.501645,2.6809246430401178e-06,0.05,5.414149999999998e-06,-5.571715393242709,-5.266469716192062,0.30524567705064687,1.0195084610287495
-0.402695,5.697937317621902e-07,0.05,8.215155660377362e-07,-6.244282332695815,-6.085384203159842,0.15889812953597282,0.4417771208136157
-0.298007,4.4421763972111476e-08,0.05,5.754225000000006e-08,-7.352404199769004,-7.240013160459601,0.11239103930940253,0.29536166182247475
-0.198594,1.6327718129775242e-09,0.05,1.8646305882352936e-09,-8.787074505581296,-8.729407195695547,0.05766730988574942,0.14200317118100633
-0.099181,6.001436749604617e-11,0.05,4.8675928117048185e-11,-10.221744766661455,-10.312685758918978,-0.09094099225752217,-0.18892874909903823
-1.31329,0.0006009344441226,0.7,0.0002927,-3.221172902554132,-3.533577277566208,-0.31240437501207596,-0.512925240244201
-1.21472,0.0005286898848372,0.7,0.0002754416666666666,-3.2767989986575166,-3.5599703624281775,-0.283171363770661,-0.47901090116092604
-1.11613,0.0004460957164814,0.7,0.00025193152873563215,-3.3505719469386626,-3.5987174779998625,-0.24814553106119996,-0.4352523025265667
-1.01206,0.0003609465840999,0.7,0.00022071812903225803,-3.442557063875807,-3.6561619939098513,-0.21360493003404413,-0.38850195913983393
-0.90796,0.0002576454012875,0.7,0.00018378426229508194,-3.5889776048554833,-3.735691680605142,-0.14671407574965878,-0.28667749792280706
-0.803856,0.0001839084044283,0.7,0.00014128052459016395,-3.7353984234893156,-3.8499177011802206,-0.11451927769090497,-0.23178864484551218
-0.710636,0.0001021980041431,0.7,9.757694311926606e-05,-3.9905575855917386,-4.0106527915448185,-0.020095205953079898,-0.04521674432470743
-0.600914,4.237080391152296e-05,0.7,4.349689334619091e-05,-4.372933295946468,-4.361541760304834,0.011391535641633865,0.026577013667699306
-0.501987,9.790167732163145e-06,0.7,1.1308049999999994e-05,-5.009209867489113,-4.946612279889266,0.06259758759984635,0.15504149769060926
-0.397431,1.2601185039983964e-06,0.7,1.3249884905660378e-06,-5.899588611062955,-5.877787894184055,0.02180071687890006,0.051479274656952415
-0.298205,9.42347359276502e-08,0.7,9.656186995967723e-08,-7.0257889821221955,-7.01519433254093,0.010594649581265436,0.024695076705194097
-0.19355,8.327712560978327e-09,0.7,2.6711960784313723e-09,-8.079474273331254,-8.573294231538616,-0.4938199582073626,-0.6792401203965709
